[<<immutable-context>>, <<immutable-context>>]	<main-thread-init>/0	[<<immutable-hcontext>>, <<main-thread>>]	<java.lang.Thread: void <init>(java.lang.ThreadGroup,java.lang.String)>
[<<immutable-context>>, <<immutable-context>>]	<thread-group-init>/0	[<<immutable-hcontext>>, <<system-thread-group>>]	<java.lang.ThreadGroup: void <init>()>
[<<immutable-context>>, <<immutable-context>>]	<thread-group-init>/0	[<<immutable-hcontext>>, <<main-thread-group>>]	<java.lang.ThreadGroup: void <init>(java.lang.ThreadGroup,java.lang.String)>
[<<immutable-context>>, <com.coveros.training.library.LibraryLendServlet: void <clinit>()>/new com.coveros.training.library.LibraryUtils/0]	<com.coveros.training.library.domainobjects.Loan: com.coveros.training.library.domainobjects.Loan createEmpty()>/com.coveros.training.library.domainobjects.Loan.<init>/0	[<com.coveros.training.library.LibraryLendServlet: void <clinit>()>/new com.coveros.training.library.LibraryUtils/0, <com.coveros.training.library.domainobjects.Loan: com.coveros.training.library.domainobjects.Loan createEmpty()>/new com.coveros.training.library.domainobjects.Loan/0]	<com.coveros.training.library.domainobjects.Loan: void <init>(com.coveros.training.library.domainobjects.Book,com.coveros.training.library.domainobjects.Borrower,long,java.sql.Date)>
[<<immutable-context>>, <<immutable-context>>]	<com.coveros.training.mathematics.AckermannIterative$$: void <clinit>()>/com.coveros.training.mathematics.TailRecursive.tailie/0	[<<immutable-context>>, <<immutable-context>>]	<com.coveros.training.mathematics.TailRecursive: java.util.function.BiFunction tailie(java.util.function.BiFunction,java.util.function.UnaryOperator,java.util.function.Predicate,java.util.function.Function)>
[<<immutable-context>>, <com.coveros.training.authentication.RegisterServlet: void <clinit>()>/new com.coveros.training.authentication.RegistrationUtils/0]	<com.coveros.training.authentication.domainobjects.PasswordResult: com.coveros.training.authentication.domainobjects.PasswordResult createDefault(com.coveros.training.authentication.domainobjects.PasswordResultEnums)>/com.coveros.training.authentication.domainobjects.PasswordResult.<init>/0	[<com.coveros.training.authentication.RegisterServlet: void <clinit>()>/new com.coveros.training.authentication.RegistrationUtils/0, <com.coveros.training.authentication.domainobjects.PasswordResult: com.coveros.training.authentication.domainobjects.PasswordResult createDefault(com.coveros.training.authentication.domainobjects.PasswordResultEnums)>/new com.coveros.training.authentication.domainobjects.PasswordResult/0]	<com.coveros.training.authentication.domainobjects.PasswordResult: void <init>(com.coveros.training.authentication.domainobjects.PasswordResultEnums,java.lang.Double,java.lang.String,java.lang.String,java.lang.String)>
[<<immutable-context>>, <com.coveros.training.authentication.RegisterServlet: void <clinit>()>/new com.coveros.training.authentication.RegistrationUtils/0]	<com.coveros.training.authentication.RegistrationUtils: com.coveros.training.authentication.domainobjects.PasswordResult isPasswordGood(java.lang.String)>/com.coveros.training.authentication.domainobjects.PasswordResult.<init>/0	[<com.coveros.training.authentication.RegisterServlet: void <clinit>()>/new com.coveros.training.authentication.RegistrationUtils/0, <com.coveros.training.authentication.RegistrationUtils: com.coveros.training.authentication.domainobjects.PasswordResult isPasswordGood(java.lang.String)>/new com.coveros.training.authentication.domainobjects.PasswordResult/0]	<com.coveros.training.authentication.domainobjects.PasswordResult: void <init>(com.coveros.training.authentication.domainobjects.PasswordResultEnums,java.lang.Double,java.lang.String,java.lang.String,java.lang.String)>
[<<immutable-context>>, <com.coveros.training.authentication.RegisterServlet: void <clinit>()>/new com.coveros.training.authentication.RegistrationUtils/0]	<com.coveros.training.authentication.RegistrationUtils: com.coveros.training.authentication.domainobjects.PasswordResult isPasswordGood(java.lang.String)>/com.coveros.training.authentication.domainobjects.PasswordResult.<init>/1	[<com.coveros.training.authentication.RegisterServlet: void <clinit>()>/new com.coveros.training.authentication.RegistrationUtils/0, <com.coveros.training.authentication.RegistrationUtils: com.coveros.training.authentication.domainobjects.PasswordResult isPasswordGood(java.lang.String)>/new com.coveros.training.authentication.domainobjects.PasswordResult/1]	<com.coveros.training.authentication.domainobjects.PasswordResult: void <init>(com.coveros.training.authentication.domainobjects.PasswordResultEnums,java.lang.Double,java.lang.String,java.lang.String,java.lang.String)>
[<<immutable-context>>, <com.coveros.training.authentication.RegisterServlet: void <clinit>()>/new com.coveros.training.authentication.RegistrationUtils/0]	<com.coveros.training.authentication.RegistrationUtils: com.coveros.training.authentication.domainobjects.PasswordResult isPasswordGood(java.lang.String)>/com.coveros.training.authentication.domainobjects.PasswordResult.createDefault/0	[<<immutable-context>>, <com.coveros.training.authentication.RegisterServlet: void <clinit>()>/new com.coveros.training.authentication.RegistrationUtils/0]	<com.coveros.training.authentication.domainobjects.PasswordResult: com.coveros.training.authentication.domainobjects.PasswordResult createDefault(com.coveros.training.authentication.domainobjects.PasswordResultEnums)>
[<<immutable-context>>, <com.coveros.training.authentication.RegisterServlet: void <clinit>()>/new com.coveros.training.authentication.RegistrationUtils/0]	<com.coveros.training.authentication.RegistrationUtils: com.coveros.training.authentication.domainobjects.PasswordResult isPasswordGood(java.lang.String)>/com.coveros.training.authentication.domainobjects.PasswordResult.createDefault/1	[<<immutable-context>>, <com.coveros.training.authentication.RegisterServlet: void <clinit>()>/new com.coveros.training.authentication.RegistrationUtils/0]	<com.coveros.training.authentication.domainobjects.PasswordResult: com.coveros.training.authentication.domainobjects.PasswordResult createDefault(com.coveros.training.authentication.domainobjects.PasswordResultEnums)>
[<<immutable-context>>, <com.coveros.training.authentication.RegisterServlet: void <clinit>()>/new com.coveros.training.authentication.RegistrationUtils/0]	<com.coveros.training.authentication.RegistrationUtils: com.coveros.training.authentication.domainobjects.PasswordResult isPasswordGood(java.lang.String)>/com.coveros.training.authentication.domainobjects.PasswordResult.createDefault/2	[<<immutable-context>>, <com.coveros.training.authentication.RegisterServlet: void <clinit>()>/new com.coveros.training.authentication.RegistrationUtils/0]	<com.coveros.training.authentication.domainobjects.PasswordResult: com.coveros.training.authentication.domainobjects.PasswordResult createDefault(com.coveros.training.authentication.domainobjects.PasswordResultEnums)>
[<<immutable-context>>, <<immutable-context>>]	<com.coveros.training.mathematics.MathServlet: void setResultToSum(javax.servlet.http.HttpServletRequest,int,int)>/com.coveros.training.mathematics.Calculator.add/0	[<<immutable-context>>, <<immutable-context>>]	<com.coveros.training.mathematics.Calculator: int add(int,int)>
[<<immutable-hcontext>>, com.coveros.training.mathematics.MathServlet::MockObject]	<com.coveros.training.mathematics.MathServlet: void setResultToSum(javax.servlet.http.HttpServletRequest,int,int)>/com.coveros.training.mathematics.Calculator.add/0	[<<immutable-hcontext>>, com.coveros.training.mathematics.MathServlet::MockObject]	<com.coveros.training.mathematics.Calculator: int add(int,int)>
[<<immutable-context>>, <<immutable-context>>]	<com.coveros.training.persistence.PersistenceLayer: void <init>()>/com.coveros.training.persistence.PersistenceLayer.<init>/0	[<<immutable-hcontext>>, com.coveros.training.persistence.PersistenceLayer::MockObject]	<com.coveros.training.persistence.PersistenceLayer: void <init>(javax.sql.DataSource)>
[<com.coveros.training.library.LibraryRegisterBookServlet: void <clinit>()>/new com.coveros.training.library.LibraryUtils/0, <com.coveros.training.library.LibraryUtils: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>()>/com.coveros.training.persistence.PersistenceLayer.<init>/0	[<com.coveros.training.library.LibraryRegisterBookServlet: void <clinit>()>/new com.coveros.training.library.LibraryUtils/0, <com.coveros.training.library.LibraryUtils: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>(javax.sql.DataSource)>
[<<immutable-context>>, <com.coveros.training.tomcat.WebAppListener: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>()>/com.coveros.training.persistence.PersistenceLayer.<init>/0	[<<immutable-context>>, <com.coveros.training.tomcat.WebAppListener: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>(javax.sql.DataSource)>
[<<immutable-context>>, <com.coveros.training.persistence.DbServlet: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>()>/com.coveros.training.persistence.PersistenceLayer.<init>/0	[<<immutable-context>>, <com.coveros.training.persistence.DbServlet: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>(javax.sql.DataSource)>
[<com.coveros.training.library.LibraryLendServlet: void <clinit>()>/new com.coveros.training.library.LibraryUtils/0, <com.coveros.training.library.LibraryUtils: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>()>/com.coveros.training.persistence.PersistenceLayer.<init>/0	[<com.coveros.training.library.LibraryLendServlet: void <clinit>()>/new com.coveros.training.library.LibraryUtils/0, <com.coveros.training.library.LibraryUtils: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>(javax.sql.DataSource)>
[<com.coveros.training.library.LibraryBorrowerListSearchServlet: void <clinit>()>/new com.coveros.training.library.LibraryUtils/0, <com.coveros.training.library.LibraryUtils: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>()>/com.coveros.training.persistence.PersistenceLayer.<init>/0	[<com.coveros.training.library.LibraryBorrowerListSearchServlet: void <clinit>()>/new com.coveros.training.library.LibraryUtils/0, <com.coveros.training.library.LibraryUtils: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>(javax.sql.DataSource)>
[<com.coveros.training.library.LibraryRegisterBorrowerServlet: void <clinit>()>/new com.coveros.training.library.LibraryUtils/0, <com.coveros.training.library.LibraryUtils: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>()>/com.coveros.training.persistence.PersistenceLayer.<init>/0	[<com.coveros.training.library.LibraryRegisterBorrowerServlet: void <clinit>()>/new com.coveros.training.library.LibraryUtils/0, <com.coveros.training.library.LibraryUtils: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>(javax.sql.DataSource)>
[<com.coveros.training.library.LibraryBookListAvailableServlet: void <clinit>()>/new com.coveros.training.library.LibraryUtils/0, <com.coveros.training.library.LibraryUtils: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>()>/com.coveros.training.persistence.PersistenceLayer.<init>/0	[<com.coveros.training.library.LibraryBookListAvailableServlet: void <clinit>()>/new com.coveros.training.library.LibraryUtils/0, <com.coveros.training.library.LibraryUtils: void <init>()>/new com.coveros.training.persistence.PersistenceLayer/0]	<com.coveros.training.persistence.PersistenceLayer: void <init>(javax.sql.DataSource)>
