[<<immutable-context>>, <<immutable-context>>]	<<string-constant>>	<com.coveros.training.library.LibraryLendServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	<com.coveros.training.helpers.ServletUtils: void forwardToResult(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger)>
[<<immutable-context>>, <<immutable-context>>]	<<string-constant>>	<com.coveros.training.library.LibraryLendServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	<com.coveros.training.helpers.StringUtils: java.lang.String makeNotNullable(java.lang.String)>
[<<immutable-context>>, <<immutable-context>>]	<<string-constant>>	<com.coveros.training.library.LibraryRegisterBookServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	<com.coveros.training.helpers.ServletUtils: void forwardToResult(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger)>
[<<immutable-context>>, <<immutable-context>>]	<<string-constant>>	<com.coveros.training.library.LibraryRegisterBookServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	<com.coveros.training.helpers.StringUtils: java.lang.String makeNotNullable(java.lang.String)>
[<<immutable-context>>, <<immutable-context>>]	<<string-constant>>	<com.coveros.training.library.LibraryBorrowerListSearchServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	<com.coveros.training.helpers.ServletUtils: void forwardToRestfulResult(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger)>
[<<immutable-context>>, <<immutable-context>>]	<<string-constant>>	<com.coveros.training.library.LibraryBorrowerListSearchServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	<com.coveros.training.helpers.StringUtils: java.lang.String makeNotNullable(java.lang.String)>
[<<immutable-context>>, <<immutable-context>>]	<<string-constant>>	<com.coveros.training.library.LibraryRegisterBorrowerServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	<com.coveros.training.helpers.ServletUtils: void forwardToResult(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger)>
[<<immutable-context>>, <<immutable-context>>]	<<string-constant>>	<com.coveros.training.library.LibraryRegisterBorrowerServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	<com.coveros.training.helpers.StringUtils: java.lang.String makeNotNullable(java.lang.String)>
[<<immutable-context>>, <<immutable-context>>]	<<string-constant>>	<com.coveros.training.library.LibraryBookListAvailableServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	<com.coveros.training.helpers.ServletUtils: void forwardToRestfulResult(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger)>
[<<immutable-context>>, <<immutable-context>>]	<<string-constant>>	<com.coveros.training.authentication.LoginServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	<com.coveros.training.helpers.ServletUtils: void forwardToResult(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger)>
[<<immutable-context>>, <<immutable-context>>]	<<string-constant>>	<com.coveros.training.authentication.LoginServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	<com.coveros.training.helpers.StringUtils: java.lang.String makeNotNullable(java.lang.String)>
[<<immutable-context>>, <<immutable-context>>]	<<string-constant>>	<com.coveros.training.authentication.RegisterServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	<com.coveros.training.helpers.StringUtils: java.lang.String makeNotNullable(java.lang.String)>
[<<immutable-context>>, <<immutable-context>>]	<<string-constant>>	<com.coveros.training.persistence.DbServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	<com.coveros.training.helpers.ServletUtils: void forwardToResult(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger)>
